Kannada,English,Hindi
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
Hogiri,Go,जाओ
Yestu,How much?,कितना?
Illi,Here,यहाँ
Alli,There,वहाँ
Bekagide,I want,मुझे चाहिए
Tindi,Food,खाना
Neeru,Water,पानी
Kali,Learn,सीखो
Odu,Read,पढ़ो
Keliri,Listen,सुनो
Matadi,Speak,बोलो
Huttida dina,Birthday,जन्मदिन
Namaskara,Hello,नमस्ते
Hegiddera,How are you?,आप कैसे हैं?
Nanu chennagidini,I am fine,मैं ठीक हूँ
Ninna hesaru yenu,What is your name?,तुम्हारा नाम क्या है?
Nanna hesaru...,My name is...,मेरा नाम ... है
Dayavittu,Please,कृपया
Dhanyavada,Thank you,धन्यवाद
Banni,Come,आओ
